"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/01/2019","AQS","060590007","1","0.037","ppm","34","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/02/2019","AQS","060590007","1","0.034","ppm","31","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/03/2019","AQS","060590007","1","0.036","ppm","33","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/04/2019","AQS","060590007","1","0.038","ppm","35","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/05/2019","AQS","060590007","1","0.038","ppm","35","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/06/2019","AQS","060590007","1","0.035","ppm","32","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/07/2019","AQS","060590007","1","0.036","ppm","33","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/08/2019","AQS","060590007","1","0.036","ppm","33","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/09/2019","AQS","060590007","1","0.04","ppm","37","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/10/2019","AQS","060590007","1","0.039","ppm","36","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/11/2019","AQS","060590007","1","0.041","ppm","38","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/12/2019","AQS","060590007","1","0.034","ppm","31","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/13/2019","AQS","060590007","1","0.038","ppm","35","Anaheim","14","82.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/14/2019","AQS","060590007","1","0.03","ppm","28","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/15/2019","AQS","060590007","1","0.04","ppm","37","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/16/2019","AQS","060590007","1","0.041","ppm","38","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/17/2019","AQS","060590007","1","0.041","ppm","38","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/18/2019","AQS","060590007","1","0.037","ppm","34","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/19/2019","AQS","060590007","1","0.036","ppm","33","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/20/2019","AQS","060590007","1","0.039","ppm","36","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/21/2019","AQS","060590007","1","0.034","ppm","31","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/22/2019","AQS","060590007","1","0.037","ppm","34","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/23/2019","AQS","060590007","1","0.047","ppm","44","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/24/2019","AQS","060590007","1","0.045","ppm","42","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/25/2019","AQS","060590007","1","0.049","ppm","45","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/26/2019","AQS","060590007","1","0.044","ppm","41","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/27/2019","AQS","060590007","1","0.043","ppm","40","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/28/2019","AQS","060590007","1","0.031","ppm","29","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/01/2019","AQS","060590007","1","0.032","ppm","30","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/02/2019","AQS","060590007","1","0.025","ppm","23","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/03/2019","AQS","060590007","1","0.034","ppm","31","Anaheim","17","100.0000","44201","Ozone","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
